n_departement,type_equipement_ou_lieu,fonction_1
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
73,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
74,Monument,Préservation
67,Monument,Préservation
67,Monument,Préservation
68,Monument,Préservation
24,Monument,Préservation
33,Monument,Préservation
33,Monument,Préservation
33,Monument,Préservation
47,Monument,Préservation
47,Monument,Préservation
47,Monument,Préservation
64,Monument,Préservation
64,Monument,Préservation
64,Monument,Préservation
15,Monument,Préservation
15,Monument,Préservation
15,Monument,Préservation
15,Monument,Préservation
43,Monument,Préservation
43,Monument,Préservation
43,Monument,Préservation
43,Monument,Préservation
63,Monument,Préservation
63,Monument,Préservation
63,Monument,Préservation
14,Monument,Préservation
50,Monument,Préservation
61,Monument,Préservation
58,Monument,Préservation
71,Monument,Préservation
71,Monument,Préservation
71,Monument,Préservation
22,Monument,Préservation
18,Monument,Préservation
18,Monument,Préservation
28,Monument,Préservation
28,Monument,Préservation
28,Monument,Préservation
28,Monument,Préservation
36,Monument,Préservation
37,Monument,Préservation
10,Monument,Préservation
10,Monument,Préservation
10,Monument,Préservation
2B,Monument,Préservation
25,Monument,Préservation
25,Monument,Préservation
39,Monument,Préservation
39,Monument,Préservation
39,Monument,Préservation
70,Monument,Préservation
90,Monument,Préservation
973,Monument,Préservation
27,Monument,Préservation
75,Monument,Préservation
75,Monument,Préservation
75,Monument,Préservation
75,Monument,Préservation
78,Monument,Préservation
94,Monument,Préservation
94,Monument,Préservation
30,Monument,Préservation
30,Monument,Préservation
30,Monument,Préservation
34,Monument,Préservation
34,Monument,Préservation
34,Monument,Préservation
66,Monument,Préservation
19,Monument,Préservation
19,Monument,Préservation
23,Monument,Préservation
87,Monument,Préservation
87,Monument,Préservation
54,Monument,Préservation
55,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
57,Monument,Préservation
88,Monument,Préservation
12,Monument,Préservation
12,Monument,Préservation
12,Monument,Préservation
12,Monument,Préservation
31,Monument,Préservation
31,Monument,Préservation
31,Monument,Préservation
31,Monument,Préservation
31,Monument,Préservation
32,Monument,Préservation
46,Monument,Préservation
46,Monument,Préservation
46,Monument,Préservation
46,Monument,Préservation
65,Monument,Préservation
81,Monument,Préservation
81,Monument,Préservation
59,Monument,Préservation
44,Monument,Préservation
49,Monument,Préservation
49,Monument,Préservation
02,Monument,Préservation
02,Monument,Préservation
17,Monument,Préservation
79,Monument,Préservation
86,Monument,Préservation
86,Monument,Préservation
86,Monument,Préservation
06,Monument,Préservation
06,Monument,Préservation
13,Monument,Préservation
13,Monument,Préservation
13,Monument,Préservation
13,Monument,Préservation
83,Monument,Préservation
83,Monument,Préservation
26,Monument,Préservation
38,Monument,Préservation
67,Monument,Préservation
67,Monument,Préservation
33,Monument,Préservation
33,Monument,Préservation
47,Monument,Préservation
47,Monument,Préservation
71,Monument,Préservation
71,Monument,Préservation
89,Monument,Préservation
18,Monument,Préservation
28,Monument,Préservation
28,Monument,Préservation
36,Monument,Préservation
37,Monument,Préservation
51,Monument,Préservation
52,Monument,Préservation
52,Monument,Préservation
52,Monument,Préservation
2B,Monument,Préservation
70,Monument,Préservation
34,Monument,Préservation
66,Monument,Préservation
23,Monument,Préservation
54,Monument,Préservation
54,Monument,Préservation
54,Monument,Préservation
12,Monument,Préservation
31,Monument,Préservation
65,Monument,Préservation
14,Monument,Préservation
76,Monument,Préservation
44,Monument,Préservation
53,Monument,Préservation
72,Monument,Préservation
85,Monument,Préservation
83,Monument,Préservation
63,Monument,Préservation
63,Monument,Préservation
85,Monument,Préservation
85,Monument,Préservation
84,Monument,Préservation
84,Monument,Préservation
21,Monument,Préservation
89,Monument,Préservation
39,Monument,Préservation
55,Monument,Préservation
85,Monument,Préservation
17,Monument,Préservation
79,Monument,Préservation
79,Monument,Préservation
86,Monument,Préservation
15,Monument,Préservation
63,Monument,Préservation
16,Monument,Préservation
01,Monument,Préservation
26,Monument,Préservation
69,Monument,Préservation
69,Monument,Préservation
89,Monument,Préservation
2A,Monument,Préservation
25,Monument,Préservation
25,Monument,Préservation
25,Monument,Préservation
39,Monument,Préservation
39,Monument,Préservation
39,Monument,Préservation
70,Monument,Préservation
70,Monument,Préservation
81,Monument,Préservation
71,Monument,Préservation
16,Monument,Préservation
974,Monument,Préservation
974,Monument,Préservation
14,Monument,Préservation
61,Monument,Préservation
61,Monument,Préservation
02,Monument,Préservation
