code_departement,nom,voix
01,abstentions,81507
02,abstentions,80183
03,abstentions,54275
04,abstentions,24323
05,abstentions,20821
06,abstentions,161903
07,abstentions,46618
08,abstentions,44076
09,abstentions,21392
10,abstentions,38951
11,abstentions,52553
12,abstentions,36378
13,abstentions,300146
14,abstentions,90313
15,abstentions,22767
16,abstentions,54980
17,abstentions,99351
18,abstentions,50910
19,abstentions,34299
2A,abstentions,33758
2B,abstentions,40907
21,abstentions,68680
22,abstentions,71617
23,abstentions,19917
24,abstentions,57520
25,abstentions,76199
26,abstentions,73210
27,abstentions,82215
28,abstentions,60474
29,abstentions,120636
30,abstentions,107277
31,abstentions,170785
32,abstentions,23027
33,abstentions,216602
34,abstentions,159370
35,abstentions,116705
36,abstentions,34911
37,abstentions,80171
38,abstentions,178004
39,abstentions,36524
40,abstentions,55411
41,abstentions,46325
42,abstentions,108838
43,abstentions,32875
44,abstentions,162597
45,abstentions,87974
46,abstentions,22347
47,abstentions,46805
48,abstentions,9949
49,abstentions,97038
50,abstentions,70202
51,abstentions,81265
52,abstentions,28769
53,abstentions,36392
54,abstentions,106495
55,abstentions,27849
56,abstentions,96113
57,abstentions,177500
58,abstentions,35457
59,abstentions,417073
60,abstentions,113254
61,abstentions,38340
62,abstentions,234194
63,abstentions,93363
64,abstentions,97357
65,abstentions,34275
66,abstentions,73984
67,abstentions,154037
68,abstentions,110496
69,abstentions,249073
70,abstentions,34976
71,abstentions,86784
72,abstentions,73577
73,abstentions,62746
74,abstentions,116275
75,abstentions,210200
76,abstentions,177294
77,abstentions,183302
78,abstentions,177485
79,abstentions,51156
80,abstentions,80489
81,abstentions,50507
82,abstentions,32623
83,abstentions,169107
84,abstentions,80602
85,abstentions,82867
86,abstentions,62127
87,abstentions,50623
88,abstentions,56393
89,abstentions,52739
90,abstentions,21638
91,abstentions,157440
92,abstentions,176715
93,abstentions,210952
94,abstentions,164068
95,abstentions,167560
ZA,abstentions,189694
ZB,abstentions,186855
ZC,abstentions,61010
ZD,abstentions,264229
ZM,abstentions,46860
ZN,abstentions,98257
ZP,abstentions,124527
ZS,abstentions,2238
ZW,abstentions,3053
ZX,abstentions,17202
ZZ,abstentions,704383
01,blancs,6342
02,blancs,5047
03,blancs,4335
04,blancs,1808
05,blancs,1541
06,blancs,9089
07,blancs,3896
08,blancs,2553
09,blancs,1727
10,blancs,2745
11,blancs,3867
12,blancs,3630
13,blancs,16578
14,blancs,6292
15,blancs,2113
16,blancs,3736
17,blancs,6848
18,blancs,4010
19,blancs,3429
2A,blancs,1208
2B,blancs,1666
21,blancs,5118
22,blancs,6436
23,blancs,1950
24,blancs,5047
25,blancs,5807
26,blancs,5470
27,blancs,6024
28,blancs,4533
29,blancs,9452
30,blancs,7032
31,blancs,11410
32,blancs,2166
33,blancs,13936
34,blancs,10051
35,blancs,10011
36,blancs,3081
37,blancs,6197
38,blancs,12058
39,blancs,3168
40,blancs,4844
41,blancs,3692
42,blancs,7841
43,blancs,3341
44,blancs,14639
45,blancs,6397
46,blancs,2093
47,blancs,3660
48,blancs,904
49,blancs,9767
50,blancs,5632
51,blancs,4851
52,blancs,2120
53,blancs,4111
54,blancs,6469
55,blancs,1944
56,blancs,8518
57,blancs,11251
58,blancs,2550
59,blancs,24060
60,blancs,8040
61,blancs,3176
62,blancs,15351
63,blancs,7773
64,blancs,6685
65,blancs,2528
66,blancs,4563
67,blancs,9806
68,blancs,9197
69,blancs,13460
70,blancs,2820
71,blancs,6874
72,blancs,7302
73,blancs,4253
74,blancs,7765
75,blancs,10627
76,blancs,14085
77,blancs,13069
78,blancs,10838
79,blancs,4703
80,blancs,6124
81,blancs,4330
82,blancs,2559
83,blancs,9858
84,blancs,5606
85,blancs,8356
86,blancs,4741
87,blancs,4404
88,blancs,4720
89,blancs,3404
90,blancs,1439
91,blancs,10240
92,blancs,12689
93,blancs,10148
94,blancs,9925
95,blancs,10059
ZA,blancs,5630
ZB,blancs,8152
ZC,blancs,3831
ZD,blancs,11468
ZM,blancs,925
ZN,blancs,2969
ZP,blancs,1929
ZS,blancs,70
ZW,blancs,35
ZX,blancs,211
ZZ,blancs,3169
01,nuls,2238
02,nuls,2382
03,nuls,2438
04,nuls,733
05,nuls,618
06,nuls,2837
07,nuls,3188
08,nuls,947
09,nuls,984
10,nuls,1083
11,nuls,1914
12,nuls,1805
13,nuls,5972
14,nuls,2926
15,nuls,979
16,nuls,2225
17,nuls,3105
18,nuls,1377
19,nuls,1936
2A,nuls,947
2B,nuls,794
21,nuls,1736
22,nuls,2936
23,nuls,995
24,nuls,2743
25,nuls,2216
26,nuls,2068
27,nuls,2517
28,nuls,1680
29,nuls,3298
30,nuls,2948
31,nuls,5065
32,nuls,1083
33,nuls,5624
34,nuls,4129
35,nuls,4085
36,nuls,1483
37,nuls,2598
38,nuls,3790
39,nuls,1071
40,nuls,2076
41,nuls,1566
42,nuls,2763
43,nuls,1365
44,nuls,4845
45,nuls,2664
46,nuls,1095
47,nuls,1644
48,nuls,508
49,nuls,3662
50,nuls,2824
51,nuls,1811
52,nuls,819
53,nuls,1590
54,nuls,2361
55,nuls,791
56,nuls,3546
57,nuls,3303
58,nuls,984
59,nuls,9732
60,nuls,2998
61,nuls,1161
62,nuls,7671
63,nuls,3236
64,nuls,2683
65,nuls,1198
66,nuls,2580
67,nuls,4591
68,nuls,2587
69,nuls,4559
70,nuls,1896
71,nuls,2809
72,nuls,2117
73,nuls,1679
74,nuls,2495
75,nuls,4251
76,nuls,3753
77,nuls,4596
78,nuls,3891
79,nuls,2128
80,nuls,2765
81,nuls,2600
82,nuls,1358
83,nuls,3374
84,nuls,1887
85,nuls,4389
86,nuls,2398
87,nuls,2880
88,nuls,1997
89,nuls,1222
90,nuls,639
91,nuls,4060
92,nuls,2568
93,nuls,4592
94,nuls,3760
95,nuls,4740
ZA,nuls,8779
ZB,nuls,6541
ZC,nuls,1255
ZD,nuls,13304
ZM,nuls,2132
ZN,nuls,1311
ZP,nuls,1862
ZS,nuls,26
ZW,nuls,28
ZX,nuls,107
ZZ,nuls,2442
01,LE PEN,81455
02,LE PEN,102770
03,LE PEN,43004
04,LE PEN,24463
05,LE PEN,18474
06,LE PEN,163141
07,LE PEN,45305
08,LE PEN,47578
09,LE PEN,20247
10,LE PEN,48846
11,LE PEN,60585
12,LE PEN,28588
13,LE PEN,286397
14,LE PEN,81770
15,LE PEN,16641
16,LE PEN,42598
17,LE PEN,80764
18,LE PEN,41753
19,LE PEN,25253
2A,LE PEN,20858
2B,LE PEN,22183
21,LE PEN,64200
22,LE PEN,61703
23,LE PEN,13966
24,LE PEN,52044
25,LE PEN,66635
26,LE PEN,68996
27,LE PEN,98719
28,LE PEN,58886
29,LE PEN,77366
30,LE PEN,123273
31,LE PEN,120225
32,LE PEN,23387
33,LE PEN,155319
34,LE PEN,161119
35,LE PEN,84648
36,LE PEN,31985
37,LE PEN,64522
38,LE PEN,147910
39,LE PEN,36110
40,LE PEN,44956
41,LE PEN,48662
42,LE PEN,94222
43,LE PEN,32185
44,LE PEN,111194
45,LE PEN,83662
46,LE PEN,17865
47,LE PEN,47271
48,LE PEN,9097
49,LE PEN,77935
50,LE PEN,61620
51,LE PEN,82473
52,LE PEN,34027
53,LE PEN,30465
54,LE PEN,98194
55,LE PEN,34602
56,LE PEN,82927
57,LE PEN,158542
58,LE PEN,29817
59,LE PEN,382030
60,LE PEN,135188
61,LE PEN,39532
62,LE PEN,286147
63,LE PEN,63030
64,LE PEN,54376
65,LE PEN,25947
66,LE PEN,80169
67,LE PEN,147714
68,LE PEN,109704
69,LE PEN,144476
70,LE PEN,43753
71,LE PEN,75258
72,LE PEN,67083
73,LE PEN,52448
74,LE PEN,77919
75,LE PEN,53719
76,LE PEN,170945
77,LE PEN,155521
78,LE PEN,98024
79,LE PEN,38640
80,LE PEN,97081
81,LE PEN,52402
82,LE PEN,39183
83,LE PEN,186376
84,LE PEN,95930
85,LE PEN,77590
86,LE PEN,47024
87,LE PEN,37937
88,LE PEN,63924
89,LE PEN,52640
90,LE PEN,19249
91,LE PEN,102461
92,LE PEN,60731
93,LE PEN,73534
94,LE PEN,69878
95,LE PEN,94158
ZA,LE PEN,15159
ZB,LE PEN,11949
ZC,LE PEN,6521
ZD,LE PEN,82219
ZM,LE PEN,9008
ZN,LE PEN,25290
ZP,LE PEN,24604
ZS,LE PEN,478
ZW,LE PEN,380
ZX,LE PEN,1834
ZZ,LE PEN,35926
01,MACRON,73692
02,MACRON,51680
03,MACRON,45651
04,MACRON,19960
05,MACRON,18948
06,MACRON,111953
07,MACRON,42320
08,MACRON,26912
09,MACRON,19523
10,MACRON,30565
11,MACRON,43015
12,MACRON,45584
13,MACRON,203312
14,MACRON,99720
15,MACRON,24477
16,MACRON,49889
17,MACRON,91355
18,MACRON,38076
19,MACRON,39218
2A,MACRON,13022
2B,MACRON,15506
21,MACRON,67436
22,MACRON,104969
23,MACRON,15807
24,MACRON,55945
25,MACRON,63954
26,MACRON,63164
27,MACRON,66986
28,MACRON,51038
29,MACRON,164095
30,MACRON,79006
31,MACRON,190128
32,MACRON,27775
33,MACRON,222287
34,MACRON,128621
35,MACRON,181373
36,MACRON,27301
37,MACRON,83165
38,MACRON,164091
39,MACRON,31896
40,MACRON,61043
41,MACRON,40639
42,MACRON,90677
43,MACRON,32821
44,MACRON,232602
45,MACRON,83506
46,MACRON,29527
47,MACRON,39253
48,MACRON,10463
49,MACRON,121685
50,MACRON,74683
51,MACRON,60958
52,MACRON,18438
53,MACRON,46938
54,MACRON,83703
55,MACRON,20713
56,MACRON,130639
57,MACRON,117738
58,MACRON,27356
59,MACRON,268723
60,MACRON,86680
61,MACRON,35815
62,MACRON,153682
63,MACRON,96797
64,MACRON,103958
65,MACRON,35070
66,MACRON,49245
67,MACRON,133347
68,MACRON,79798
69,MACRON,236137
70,MACRON,27332
71,MACRON,69212
72,MACRON,64618
73,MACRON,55871
74,MACRON,100174
75,MACRON,375006
76,MACRON,145756
77,MACRON,157314
78,MACRON,219063
79,MACRON,57826
80,MACRON,69520
81,MACRON,51755
82,MACRON,30319
83,MACRON,108597
84,MACRON,58208
85,MACRON,109989
86,MACRON,59146
87,MACRON,55577
88,MACRON,43604
89,MACRON,36234
90,MACRON,14771
91,MACRON,163389
92,MACRON,256687
93,MACRON,130103
94,MACRON,172202
95,MACRON,138752
ZA,MACRON,33930
ZB,MACRON,27893
ZC,MACRON,5031
ZD,MACRON,66292
ZM,MACRON,6364
ZN,MACRON,11089
ZP,MACRON,11119
ZS,MACRON,473
ZW,MACRON,1630
ZX,MACRON,1572
ZZ,MACRON,223879
01,MÉLENCHON,51736
02,MÉLENCHON,48950
03,MÉLENCHON,38311
04,MÉLENCHON,22448
05,MÉLENCHON,18796
06,MÉLENCHON,87941
07,MÉLENCHON,42622
08,MÉLENCHON,26172
09,MÉLENCHON,24970
10,MÉLENCHON,22496
11,MÉLENCHON,46126
12,MÉLENCHON,34689
13,MÉLENCHON,231194
14,MÉLENCHON,75620
15,MÉLENCHON,14566
16,MÉLENCHON,40755
17,MÉLENCHON,72491
18,MÉLENCHON,33694
19,MÉLENCHON,30357
2A,MÉLENCHON,10085
2B,MÉLENCHON,11229
21,MÉLENCHON,50859
22,MÉLENCHON,76013
23,MÉLENCHON,14827
24,MÉLENCHON,57132
25,MÉLENCHON,50803
26,MÉLENCHON,58037
27,MÉLENCHON,58844
28,MÉLENCHON,38035
29,MÉLENCHON,109607
30,MÉLENCHON,90905
31,MÉLENCHON,170446
32,MÉLENCHON,23089
33,MÉLENCHON,185888
34,MÉLENCHON,143996
35,MÉLENCHON,118096
36,MÉLENCHON,24938
37,MÉLENCHON,65931
38,MÉLENCHON,135949
39,MÉLENCHON,30331
40,MÉLENCHON,49949
41,MÉLENCHON,31576
42,MÉLENCHON,73388
43,MÉLENCHON,25419
44,MÉLENCHON,178357
45,MÉLENCHON,58134
46,MÉLENCHON,26014
47,MÉLENCHON,36018
48,MÉLENCHON,9483
49,MÉLENCHON,78293
50,MÉLENCHON,51026
