Département;2022;Nombre de créations d'entreprises
Ain                    ;5.4;8417
Aisne                  ;10.4;4422
Allier                 ;7.6;3355
Alpes-Maritimes        ;7.4;28273
Alpes-de-Haute-Provence;8.2;2629
Ardennes               ;9.4;2533
Ardèche                ;8;4342
Ariège                 ;9.4;2074
Aube                   ;9.5;3559
Aude                   ;10;5394
Aveyron                ;5.7;3219
Bas-Rhin               ;6.2;15712
Bouches-du-Rhône       ;8.8;45496
Calvados               ;6.4;8602
Cantal                 ;4;1266
Charente               ;6.9;3870
Charente-Maritime      ;6.9;9425
Cher                   ;7.4;2944
Corrèze                ;6;2587
Corse-du-Sud           ;5.8;3226
Creuse                 ;7;1015
Côte-d'Or              ;5.6;6758
Côtes-d'Armor          ;6.3;6416
Deux-Sèvres            ;5.3;3420
Dordogne               ;7.2;5293
Doubs                  ;6.5;6140
Drôme                  ;7.8;7427
Essonne                ;6.4;23093
Eure                   ;7;6626
Eure-et-Loir           ;6.7;4905
Finistère              ;6.1;9302
Gard                   ;9.9;11675
Gers                   ;5.7;2434
Gironde                ;6.6;32877
Haut-Rhin              ;6.9;8749
Haute-Corse            ;6.4;2861
Haute-Garonne          ;7.4;25199
Haute-Loire            ;5.6;2537
Haute-Marne            ;6.3;1466
Haute-Savoie           ;5.4;13759
Haute-Saône            ;6.4;2185
Haute-Vienne           ;6.5;4081
Hautes-Alpes           ;6.8;2484
Hautes-Pyrénées        ;7.9;2986
Hauts-de-Seine         ;5.9;36273
Hérault                ;10.1;23697
Ille-et-Vilaine        ;5.4;14477
Indre                  ;7.1;1923
Indre-et-Loire         ;6.5;8165
Isère                  ;5.9;19361
Jura                   ;5.1;2781
Landes                 ;6.9;6353
Loir-et-Cher           ;6;3585
Loire                  ;7.1;10155
Loire-Atlantique       ;5.7;20606
Loiret                 ;7.1;8276
Lot                    ;7.3;2117
Lot-et-Garonne         ;7.4;4179
Lozère                 ;4.6;721
Maine-et-Loire         ;6.5;9515
Manche                 ;5.1;4244
Marne                  ;7.1;7453
Mayenne                ;5;3236
Meurthe-et-Moselle     ;7;7863
Meuse                  ;7.2;1477
Morbihan               ;5.8;8904
Moselle                ;7.2;11233
Nièvre                 ;6.7;1876
Nord                   ;9.2;32688
Oise                   ;7.4;9689
Orne                   ;6.6;2474
Paris                  ;5.7;88925
Pas-de-Calais          ;8.2;13307
Puy-de-Dôme            ;6.3;8527
Pyrénées-Atlantiques   ;5.7;10708
Pyrénées-Orientales    ;11.6;8034
Rhône                  ;6.3;39012
Sarthe                 ;7.1;5403
Savoie                 ;5.3;7515
Saône-et-Loire         ;6.4;5965
Seine-Maritime         ;7.9;13546
Seine-Saint-Denis      ;10.2;38726
Seine-et-Marne         ;6.7;23682
Somme                  ;8.7;5802
Tarn                   ;7.8;5240
Tarn-et-Garonne        ;8.6;3564
Territoire de Belfort  ;8.2;1444
Val-d'Oise             ;8.1;23846
Val-de-Marne           ;7.2;28800
Var                    ;7.4;21660
Vaucluse               ;9.5;9933
Vendée                 ;5.2;7814
Vienne                 ;5.9;5232
Vosges                 ;7.4;3665
Yonne                  ;6.7;3600
Yvelines               ;6.4;25527
