code_departement,DLF,EELV,LFI,LO,LR,LREM,NPA,PCF,PS,RN,Reconuête,Résistons,abstentions,blancs,nuls,gagnant
01,8998,15843,57832,1658,17572,92206,2172,5938,5644,86755,27530,10876,97541,5641,1903,LREM
02,5790,7074,41172,2038,10920,58721,2118,5968,2983,104342,18266,6468,101089,3767,2828,RN
03,4216,5982,31013,1359,10319,49706,1503,8119,3280,50315,12361,7782,58497,3749,1790,RN
04,2504,3957,21856,505,3834,20800,865,2721,1396,26010,7926,4309,29290,1478,624,RN
05,2142,5013,19718,428,4511,20507,801,1925,1459,19696,6164,3871,25357,1395,532,LREM
06,13307,23374,92345,1627,31260,139707,2989,8858,5414,148919,78208,12767,208250,7550,4007,RN
07,4927,8544,42837,1219,9553,45353,1817,5710,4189,49594,14199,9033,54114,3311,1459,RN
08,2957,3446,22281,1081,5556,31656,1112,3009,1741,48242,8771,4084,49368,1909,984,RN
09,1621,3020,23908,417,2724,18071,723,2701,3208,21958,5821,7532,25028,1532,775,LFI
10,3966,4619,22483,1005,8923,38321,1062,3094,1720,49316,11374,3787,52384,2339,1158,RN
11,4206,6322,42039,1026,7350,43104,1748,5622,6166,64027,18434,12382,62972,2962,1567,RN
12,3477,6746,32734,894,9988,47430,1354,4515,4470,34357,10112,14825,43833,3079,1654,LREM
13,20051,42109,237971,3578,36229,229038,5963,24295,11760,264753,108617,24256,383816,13341,5407,RN
14,7920,19621,73950,2757,18383,120366,3764,8777,6848,91774,22255,9816,117799,5547,2571,LREM
15,1547,2751,12944,555,6987,25038,650,2496,1810,21570,4906,6848,25019,1803,821,LREM
16,4345,7557,37305,1319,8343,53126,1763,5374,4003,50432,10617,8482,59909,3293,1740,LREM
17,9289,19012,71633,2330,19316,113753,3403,10002,6857,99790,24347,14335,116437,5918,2780,LREM
18,3770,5028,27901,1304,8147,43497,1463,5749,2585,44772,10822,5495,59808,3146,1083,RN
19,2618,5040,27731,885,12278,33125,1179,6292,3605,31658,8012,10177,38430,2517,1485,LREM
21,6478,13462,53875,1775,14344,80734,2286,5721,5126,69110,21651,8183,77886,4577,1651,LREM
22,6404,19349,74226,2603,17235,113656,3895,11628,8279,79850,17319,11949,96597,5722,3040,LREM
