ZONE,SEXE,TRAGE,POP_2022
Ain,1,[0;5[,20050
Ain,1,[5;10[,23780
Ain,1,[10;15[,24700
Ain,1,[15;20[,22340
Ain,1,[20;25[,14150
Ain,1,[25;30[,15040
Ain,1,[30;35[,20400
Ain,1,[35;40[,22840
Ain,1,[40;45[,22690
Ain,1,[45;50[,22930
Ain,1,[50;55[,23430
Ain,1,[55;60[,22370
Ain,1,[60;65[,19520
Ain,1,[65;70[,16950
Ain,1,[70;75[,15450
Ain,1,[75;80[,10600
Ain,1,[80;85[,6700
Ain,1,[85;90[,4070
Ain,1,[90;95[,1750
Ain,1,[95;99+],440
Ain,2,[0;5[,18930
Ain,2,[5;10[,22110
Ain,2,[10;15[,23220
Ain,2,[15;20[,20110
Ain,2,[20;25[,12310
Ain,2,[25;30[,15520
Ain,2,[30;35[,21560
Ain,2,[35;40[,23520
Ain,2,[40;45[,22810
Ain,2,[45;50[,22670
Ain,2,[50;55[,22770
Ain,2,[55;60[,22170
Ain,2,[60;65[,20450
Ain,2,[65;70[,18740
Ain,2,[70;75[,17190
Ain,2,[75;80[,12300
Ain,2,[80;85[,8740
Ain,2,[85;90[,7030
Ain,2,[90;95[,4180
Ain,2,[95;99+],1910
Aisne,1,[0;5[,13640
Aisne,1,[5;10[,16570
Aisne,1,[10;15[,18260
Aisne,1,[15;20[,17720
Aisne,1,[20;25[,13880
Aisne,1,[25;30[,12380
Aisne,1,[30;35[,14470
Aisne,1,[35;40[,15490
Aisne,1,[40;45[,15680
Aisne,1,[45;50[,16260
Aisne,1,[50;55[,16910
Aisne,1,[55;60[,17510
Aisne,1,[60;65[,16990
Aisne,1,[65;70[,15900
Aisne,1,[70;75[,14760
Aisne,1,[75;80[,8560
Aisne,1,[80;85[,5480
Aisne,1,[85;90[,3610
Aisne,1,[90;95[,1460
Aisne,1,[95;99+],290
Aisne,2,[0;5[,12990
Aisne,2,[5;10[,15880
Aisne,2,[10;15[,17460
Aisne,2,[15;20[,16020
Aisne,2,[20;25[,12460
Aisne,2,[25;30[,12560
Aisne,2,[30;35[,14770
Aisne,2,[35;40[,15990
Aisne,2,[40;45[,15810
Aisne,2,[45;50[,16330
Aisne,2,[50;55[,17420
Aisne,2,[55;60[,18090
Aisne,2,[60;65[,18010
Aisne,2,[65;70[,17560
Aisne,2,[70;75[,16480
Aisne,2,[75;80[,10780
Aisne,2,[80;85[,8130
Aisne,2,[85;90[,7040
Aisne,2,[90;95[,3870
Aisne,2,[95;99+],1340
Allier,1,[0;5[,6830
Allier,1,[5;10[,8260
Allier,1,[10;15[,9320
Allier,1,[15;20[,9410
Allier,1,[20;25[,8550
Allier,1,[25;30[,7280
Allier,1,[30;35[,7640
Allier,1,[35;40[,8380
Allier,1,[40;45[,8880
Allier,1,[45;50[,9760
Allier,1,[50;55[,10990
Allier,1,[55;60[,11430
Allier,1,[60;65[,11460
Allier,1,[65;70[,11200
Allier,1,[70;75[,11340
Allier,1,[75;80[,7730
Allier,1,[80;85[,5360
Allier,1,[85;90[,3460
Allier,1,[90;95[,1560
Allier,1,[95;99+],380
Allier,2,[0;5[,6760
Allier,2,[5;10[,8110
Allier,2,[10;15[,8970
Allier,2,[15;20[,8660
Allier,2,[20;25[,7220
Allier,2,[25;30[,6770
Allier,2,[30;35[,7740
Allier,2,[35;40[,8540
Allier,2,[40;45[,9150
Allier,2,[45;50[,10240
Allier,2,[50;55[,11320
Allier,2,[55;60[,11920
Allier,2,[60;65[,12620
Allier,2,[65;70[,12880
Allier,2,[70;75[,13180
Allier,2,[75;80[,9640
Allier,2,[80;85[,7470
Allier,2,[85;90[,6550
Allier,2,[90;95[,3830
Allier,2,[95;99+],1510
Alpes-Maritimes,1,[0;5[,26970
Alpes-Maritimes,1,[5;10[,29500
Alpes-Maritimes,1,[10;15[,30830
Alpes-Maritimes,1,[15;20[,30160
Alpes-Maritimes,1,[20;25[,28170
Alpes-Maritimes,1,[25;30[,25710
Alpes-Maritimes,1,[30;35[,29310
Alpes-Maritimes,1,[35;40[,31270
Alpes-Maritimes,1,[40;45[,32460
Alpes-Maritimes,1,[45;50[,33310
Alpes-Maritimes,1,[50;55[,34940
Alpes-Maritimes,1,[55;60[,35170
