code_departement,nom,voix
01,ARTHAUD,1658
02,ARTHAUD,2038
03,ARTHAUD,1359
04,ARTHAUD,505
05,ARTHAUD,428
06,ARTHAUD,1627
07,ARTHAUD,1219
08,ARTHAUD,1081
09,ARTHAUD,417
10,ARTHAUD,1005
11,ARTHAUD,1026
12,ARTHAUD,894
13,ARTHAUD,3578
14,ARTHAUD,2757
15,ARTHAUD,555
16,ARTHAUD,1319
17,ARTHAUD,2330
18,ARTHAUD,1304
19,ARTHAUD,885
2A,ARTHAUD,197
2B,ARTHAUD,257
21,ARTHAUD,1775
22,ARTHAUD,2603
23,ARTHAUD,490
24,ARTHAUD,1294
25,ARTHAUD,2069
26,ARTHAUD,2041
27,ARTHAUD,2197
28,ARTHAUD,1419
29,ARTHAUD,3627
30,ARTHAUD,1768
31,ARTHAUD,3006
32,ARTHAUD,529
33,ARTHAUD,3679
34,ARTHAUD,2580
35,ARTHAUD,3783
36,ARTHAUD,1085
37,ARTHAUD,2243
38,ARTHAUD,3479
39,ARTHAUD,1053
40,ARTHAUD,1115
41,ARTHAUD,1246
42,ARTHAUD,2390
43,ARTHAUD,1020
44,ARTHAUD,4712
45,ARTHAUD,1959
46,ARTHAUD,618
47,ARTHAUD,889
48,ARTHAUD,235
49,ARTHAUD,3071
50,ARTHAUD,2249
51,ARTHAUD,1778
52,ARTHAUD,696
53,ARTHAUD,1273
54,ARTHAUD,2373
55,ARTHAUD,702
56,ARTHAUD,2952
57,ARTHAUD,3499
58,ARTHAUD,833
59,ARTHAUD,7673
60,ARTHAUD,2859
61,ARTHAUD,1203
62,ARTHAUD,5887
63,ARTHAUD,2556
64,ARTHAUD,1677
65,ARTHAUD,636
66,ARTHAUD,1312
67,ARTHAUD,3687
68,ARTHAUD,2265
69,ARTHAUD,3774
70,ARTHAUD,1171
71,ARTHAUD,1979
72,ARTHAUD,2150
73,ARTHAUD,1205
74,ARTHAUD,1880
75,ARTHAUD,2891
76,ARTHAUD,4433
77,ARTHAUD,3440
78,ARTHAUD,2774
79,ARTHAUD,1644
80,ARTHAUD,2486
81,ARTHAUD,1175
82,ARTHAUD,679
83,ARTHAUD,2098
84,ARTHAUD,1221
85,ARTHAUD,2647
86,ARTHAUD,1715
87,ARTHAUD,1457
88,ARTHAUD,1569
89,ARTHAUD,1203
90,ARTHAUD,560
91,ARTHAUD,2831
92,ARTHAUD,2306
93,ARTHAUD,2756
94,ARTHAUD,2504
95,ARTHAUD,2392
971,ARTHAUD,1084
972,ARTHAUD,1447
973,ARTHAUD,297
974,ARTHAUD,3538
976,ARTHAUD,430
988,ARTHAUD,565
987,ARTHAUD,808
975,ARTHAUD,22
986,ARTHAUD,98
977_978,ARTHAUD,41
fr_etranger,ARTHAUD,1300
01,ROUSSEL,5938
02,ROUSSEL,5968
03,ROUSSEL,8119
04,ROUSSEL,2721
05,ROUSSEL,1925
06,ROUSSEL,8858
07,ROUSSEL,5710
08,ROUSSEL,3009
09,ROUSSEL,2701
10,ROUSSEL,3094
11,ROUSSEL,5622
12,ROUSSEL,4515
13,ROUSSEL,24295
14,ROUSSEL,8777
15,ROUSSEL,2496
16,ROUSSEL,5374
17,ROUSSEL,10002
18,ROUSSEL,5749
19,ROUSSEL,6292
2A,ROUSSEL,1850
2B,ROUSSEL,2687
21,ROUSSEL,5721
22,ROUSSEL,11628
23,ROUSSEL,2430
24,ROUSSEL,8855
25,ROUSSEL,5001
26,ROUSSEL,6752
27,ROUSSEL,7056
28,ROUSSEL,4267
29,ROUSSEL,15340
30,ROUSSEL,12123
31,ROUSSEL,16307
32,ROUSSEL,3128
33,ROUSSEL,21522
34,ROUSSEL,14165
35,ROUSSEL,12696
36,ROUSSEL,3702
37,ROUSSEL,7835
38,ROUSSEL,14694
39,ROUSSEL,3166
40,ROUSSEL,8176
41,ROUSSEL,4507
42,ROUSSEL,9017
43,ROUSSEL,3493
44,ROUSSEL,18322
45,ROUSSEL,7530
46,ROUSSEL,3559
47,ROUSSEL,4970
48,ROUSSEL,1343
49,ROUSSEL,8362
50,ROUSSEL,7368
51,ROUSSEL,5307
52,ROUSSEL,1833
53,ROUSSEL,3313
54,ROUSSEL,7961
55,ROUSSEL,1957
56,ROUSSEL,11529
57,ROUSSEL,8750
58,ROUSSEL,4281
59,ROUSSEL,45902
60,ROUSSEL,9054
61,ROUSSEL,3261
62,ROUSSEL,26146
63,ROUSSEL,12713
64,ROUSSEL,10170
65,ROUSSEL,4539
66,ROUSSEL,6509
67,ROUSSEL,7015
68,ROUSSEL,4649
69,ROUSSEL,15938
70,ROUSSEL,2836
71,ROUSSEL,7419
72,ROUSSEL,6908
73,ROUSSEL,5536
74,ROUSSEL,5997
75,ROUSSEL,17267
76,ROUSSEL,19896
77,ROUSSEL,12843
78,ROUSSEL,11721
79,ROUSSEL,4538
80,ROUSSEL,7706
81,ROUSSEL,5313
82,ROUSSEL,3628
83,ROUSSEL,10672
84,ROUSSEL,6247
85,ROUSSEL,8153
86,ROUSSEL,6412
87,ROUSSEL,8030
88,ROUSSEL,3847
89,ROUSSEL,4023
90,ROUSSEL,1485
91,ROUSSEL,13480
92,ROUSSEL,13170
93,ROUSSEL,11642
94,ROUSSEL,14954
95,ROUSSEL,10060
971,ROUSSEL,668
972,ROUSSEL,747
973,ROUSSEL,246
974,ROUSSEL,3074
976,ROUSSEL,206
988,ROUSSEL,399
987,ROUSSEL,368
975,ROUSSEL,19
986,ROUSSEL,34
977_978,ROUSSEL,48
fr_etranger,ROUSSEL,3266
01,MACRON,92206
02,MACRON,58721
03,MACRON,49706
04,MACRON,20800
05,MACRON,20507
06,MACRON,139707
07,MACRON,45353
08,MACRON,31656
09,MACRON,18071
10,MACRON,38321
11,MACRON,43104
12,MACRON,47430
13,MACRON,229038
14,MACRON,120366
15,MACRON,25038
16,MACRON,53126
17,MACRON,113753
18,MACRON,43497
19,MACRON,33125
2A,MACRON,12932
2B,MACRON,13773
21,MACRON,80734
22,MACRON,113656
23,MACRON,15542
24,MACRON,58532
25,MACRON,76338
26,MACRON,72228
27,MACRON,83058
28,MACRON,59869
29,MACRON,174894
30,MACRON,88278
31,MACRON,196712
32,MACRON,28970
33,MACRON,256179
34,MACRON,142306
35,MACRON,205882
36,MACRON,31498
37,MACRON,101503
38,MACRON,180533
39,MACRON,36139
40,MACRON,69459
41,MACRON,50480
42,MACRON,104003
43,MACRON,32417
44,MACRON,256609
45,MACRON,97004
46,MACRON,27311
47,MACRON,42568
48,MACRON,10739
49,MACRON,157063
50,MACRON,92642
51,MACRON,78472
52,MACRON,21886
53,MACRON,60755
54,MACRON,95252
55,MACRON,24539
56,MACRON,152740
57,MACRON,136366
58,MACRON,28686
59,MACRON,336138
60,MACRON,100043
61,MACRON,46005
62,MACRON,194610
63,MACRON,100134
64,MACRON,111610
65,MACRON,33692
66,MACRON,55169
67,MACRON,177069
68,MACRON,107248
69,MACRON,278243
70,MACRON,30204
71,MACRON,82633
72,MACRON,83876
73,MACRON,64689
74,MACRON,130422
75,MACRON,372820
76,MACRON,179698
77,MACRON,165208
78,MACRON,246062
79,MACRON,68446
80,MACRON,83107
81,MACRON,53925
82,MACRON,31737
83,MACRON,142335
84,MACRON,66885
85,MACRON,149587
86,MACRON,67831
87,MACRON,54951
88,MACRON,51432
89,MACRON,42617
90,MACRON,16768
91,MACRON,164503
92,MACRON,287494
93,MACRON,110118
94,MACRON,171409
95,MACRON,138166
971,MACRON,18137
972,MACRON,20043
973,MACRON,5101
974,MACRON,62542
976,MACRON,5936
988,MACRON,28561
987,MACRON,24106
975,MACRON,534
986,MACRON,2115
977_978,MACRON,2070
fr_etranger,MACRON,224957
01,LASSALLE,10876
02,LASSALLE,6468
03,LASSALLE,7782
04,LASSALLE,4309
05,LASSALLE,3871
06,LASSALLE,12767
